,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Dima,Skaeth’s Wild Hunt,5,1,35,23,1,1,33,13,1,1,27,17,1,1,30,20,4,125,73,10
2,Kozulskis,Thundrik’s Profiteers,6,1,29,17,2,1,32,8,1,0,10,-17,3,1,40,12,3,111,20,12
3,Egor,Godsworn Hunt,2,1,26,5,4,1,42,10,2,1,43,8,1,0,10,-20,3,121,3,10
4,Artur,Stormsire’s Cursebreakers,8,1,24,17,2,0,24,-8,4,1,26,18,2,1,33,7,3,107,34,8
5,Homyak,Mollog's Mob,6,0,12,-17,7,1,15,12,5,1,30,3,4,1,34,0,3,91,-2,7
6,Verger,Sepulchral Guard,4,1,37,24,1,0,20,-13,3,1,32,7,2,0,26,-7,2,115,11,10
7,Anguis,Zarbag's Gitz,3,1,43,3,4,0,32,-10,6,1,26,9,4,0,34,0,2,135,2,9
8,Ivan,Grashrak’s Despoilers,5,0,12,-23,8,1,44,36,3,0,25,-7,5,1,45,5,2,126,11,8
9,Voron,Zarbag's Gitz,7,1,39,8,3,1,37,5,2,0,35,-8,3,0,28,-12,2,139,-7,7
10,Seryi,Magore's Fiends,2,0,21,-5,6,1,30,10,4,0,8,-18,6,1,22,5,2,81,-8,7
11,Boris,Thorns of the Briar Queen,1,0,24,-5,5,1,36,0,6,0,17,-9,7,1,33,27,2,110,13,5
12,Sasha,The Farstriders,1,1,29,5,3,0,32,-5,5,0,27,-3,6,0,17,-5,1,105,-8,9
13,Krot,Ylthari’s Guardians,8,0,7,-17,7,0,3,-12,8,1,21,6,7,0,6,-27,1,37,-50,9
14,Nevar,Eyes of the Nine,3,0,40,-3,5,0,36,0,7,1,7,7,5,0,40,-5,1,123,-1,6
15,Keboto,Thorns of the Briar Queen,4,0,13,-24,8,0,8,-36,8,0,15,-6,8,1,7,7,1,43,-59,5
16,Amarok,Ylthari’s Guardians,7,0,31,-8,6,0,20,-10,7,0,0,-7,8,0,0,-7,0,51,-32,6
